seq,composer_original,title_ko,title_original,catalog_numbers,aliases,level,imslp_url,collection_guide
11,"Clementi, Muzio",소나티네 Op.36,"6 Piano Sonatinas, Op.36",Op.36,클레멘티 소나티네|클레멘티|소나티네 1번|소나티네 앨범|소나티네 다장조|클레멘티 36|Clementi Sonatina,ELEMENTARY,"https://imslp.org/wiki/6_Piano_Sonatinas,_Op.36_(Clementi,_Muzio)","이 악보에는 소나티네 6곡이 들어 있어요 — 소나티네 앨범의 1번 C장조가 여기 1번이에요"
12,"Kuhlau, Friedrich",소나티네 Op.20,"3 Sonatinas, Op.20",Op.20,쿨라우 소나티네|쿨라우|소나티네 앨범|소나티네 다장조|소나티네 1번|Kuhlau Sonatina,ELEMENTARY,"https://imslp.org/wiki/3_Sonatinas,_Op.20_(Kuhlau,_Friedrich)","이 악보에는 소나티네 3곡이 들어 있어요 — 1번 C장조가 소나티네 앨범의 그 곡이에요"
13,"Chopin, Frédéric",왈츠 A단조 (유작),"Waltz in A minor, B.150",B.150,쇼팽 왈츠 가단조|왈츠 A단조|왈츠 가단조|쇼팽 유작 왈츠|쇼팽 왈츠 19번|쉬운 쇼팽|Waltz in A minor|KK IVb/11,ELEMENTARY,"https://imslp.org/wiki/Waltz_in_A_minor,_B.150_(Chopin,_Frédéric)",
14,"Satie, Erik",짐노페디,3 Gymnopédies,,짐노페디|짐노페디 1번|김노페디|짐노페디아|사티 짐노페디|Gymnopédie|Gymnopedie|Gymnopedie No.1,ELEMENTARY,"https://imslp.org/wiki/3_Gymnopédies_(Satie,_Erik)","이 악보에는 3곡이 들어 있어요 — 가장 많이 연주되는 건 1번이에요"
15,"Bach, Johann Sebastian",평균율 1권 1번 프렐류드와 푸가 C장조,"Prelude and Fugue in C major, BWV 846",BWV 846,바흐 프렐류드|프렐류드 다장조|프렐류드 C장조|평균율 1번|평균율 1권 1번|평균율 클라비어|구노 아베 마리아 반주|아베마리아 반주|WTC 1|Well-Tempered Clavier,ELEMENTARY,"https://imslp.org/wiki/Prelude_and_Fugue_in_C_major,_BWV_846_(Bach,_Johann_Sebastian)","이 악보에는 프렐류드와 푸가가 이어서 들어 있어요 — 구노 ""아베 마리아""의 반주가 앞의 프렐류드예요. 푸가는 프렐류드보다 어려워요"
16,"Bach, Johann Sebastian",2성 인벤션,"15 Inventions, BWV 772-786",BWV 772–786,인벤션|인벤숀|바흐 인벤션|2성 인벤션|두성 인벤션|인벤션 1번|인벤션 4번|인벤션 8번|인벤션 13번|Invention|Two-Part Inventions,INTERMEDIATE,"https://imslp.org/wiki/15_Inventions,_BWV_772-786_(Bach,_Johann_Sebastian)","이 악보에는 인벤션 15곡이 들어 있어요 — 1번 C장조 · 4번 D단조 · 8번 F장조 · 13번 A단조를 많이 쳐요"
17,"Mozart, Wolfgang Amadeus",피아노 소나타 16번 C장조,"Piano Sonata No.16 in C major, K.545",K.545,모차르트 소나타 16번|모차르트 소나타 15번|소나타 파실레|소나타 파칠레|쉬운 소나타|모차르트 소나타 C장조|모차르트 소나타 다장조|Sonata facile,INTERMEDIATE,"https://imslp.org/wiki/Piano_Sonata_No.16_in_C_major,_K.545_(Mozart,_Wolfgang_Amadeus)","이 악보에는 3개 악장이 들어 있어요 — 가장 많이 연주되는 건 1악장이에요. 옛 판본에는 ""소나타 15번""으로 적혀 있기도 해요"
18,"Mozart, Wolfgang Amadeus",피아노 소나타 11번 A장조,"Piano Sonata No.11 in A major, K.331/300i",K.331,터키행진곡|터키 행진곡|터키 마치|터키풍 론도|론도 알라 투르카|Rondo alla Turca|Alla Turca|Turkish March|모차르트 소나타 11번,INTERMEDIATE,"https://imslp.org/wiki/Piano_Sonata_No.11_in_A_major,_K.331/300i_(Mozart,_Wolfgang_Amadeus)","이 악보에는 3개 악장이 들어 있어요 — ""터키 행진곡""은 마지막 3악장이에요. 1악장은 변주곡, 2악장은 미뉴에트예요"
19,"Mozart, Wolfgang Amadeus",작은 별 변주곡,"12 Variations on 'Ah, vous dirai-je maman', K.265/300e",K.265,작은별 변주곡|작은 별 변주곡|작은별|반짝반짝 작은 별|반짝반짝 작은별 변주곡|아 어머님께 말씀드리죠|트윙클 변주곡|Twinkle Twinkle Variations|Ah vous dirai-je maman,INTERMEDIATE,"https://imslp.org/wiki/12_Variations_on_'Ah,_vous_dirai-je_maman',_K.265/300e_(Mozart,_Wolfgang_Amadeus)",
20,"Beethoven, Ludwig van",피아노 소나타 20번 G장조,"Piano Sonata No.20, Op.49 No.2",Op.49 No.2,베토벤 소나타 20번|쉬운 소나타|베토벤 소나티네|소나타 G장조|소나타 사장조|Op.49-2|Op.49 No.2,INTERMEDIATE,"https://imslp.org/wiki/Piano_Sonata_No.20,_Op.49_No.2_(Beethoven,_Ludwig_van)","이 악보에는 2개 악장이 들어 있어요 — 2악장 미뉴에트가 7중주 Op.20 의 선율과 같아요"
21,"Beethoven, Ludwig van",월광 소나타,"Piano Sonata No.14, Op.27 No.2",Op.27 No.2,월광|월광 소나타|월광소나타|문라이트|문라이트 소나타|Moonlight|Moonlight Sonata|베토벤 소나타 14번|환상곡풍 소나타|Sonata quasi una fantasia,INTERMEDIATE,"https://imslp.org/wiki/Piano_Sonata_No.14,_Op.27_No.2_(Beethoven,_Ludwig_van)","이 악보에는 3개 악장이 들어 있어요 — 흔히 아는 느린 선율은 1악장이에요. 3악장은 훨씬 어려워요(고급)"
22,"Czerny, Carl",체르니 40번,"The School of Velocity, Op.299",Op.299,체르니 40|체르니40|체르니 40번|체르니 사십번|속주 연습곡|Czerny 40|School of Velocity,INTERMEDIATE,"https://imslp.org/wiki/The_School_of_Velocity,_Op.299_(Czerny,_Carl)","이 악보에는 연습곡 40곡이 번호 순으로 들어 있어요"
23,"Chopin, Frédéric",녹턴 Op.9,"Nocturnes, Op.9",Op.9,녹턴|녹턴 2번|녹턴 Op.9-2|야상곡|쇼팽 녹턴|쇼팽 녹턴 2번|녹턴 E플랫|녹턴 내림마장조|Nocturne Op.9 No.2|Nocturne in E-flat,INTERMEDIATE,"https://imslp.org/wiki/Nocturnes,_Op.9_(Chopin,_Frédéric)","이 악보에는 녹턴 3곡이 들어 있어요 — 가장 유명한 ""녹턴 2번""(E♭장조)은 2번이에요. 1번 B♭단조 · 3번 B장조"
24,"Chopin, Frédéric",왈츠 Op.64,"Waltzes, Op.64",Op.64,강아지 왈츠|강아지왈츠|1분 왈츠|미닛 왈츠|Minute Waltz|쇼팽 왈츠 6번|쇼팽 왈츠 7번|왈츠 C샵 단조|왈츠 올림다단조|왈츠 D플랫|Waltz Op.64 No.1|Waltz Op.64 No.2,INTERMEDIATE,"https://imslp.org/wiki/Waltzes,_Op.64_(Chopin,_Frédéric)","이 악보에는 왈츠 3곡이 들어 있어요 — ""강아지 왈츠(1분 왈츠)""는 1번 D♭장조, 2번은 C♯단조, 3번은 A♭장조예요"
25,"Chopin, Frédéric",왈츠 Op.69,"Waltzes, Op.69",Op.69,이별의 왈츠|이별 왈츠|쇼팽 왈츠 9번|쇼팽 왈츠 10번|왈츠 A플랫|왈츠 내림가장조|왈츠 B단조|왈츠 나단조|Waltz Op.69 No.1|Waltz Op.69 No.2|L'adieu,INTERMEDIATE,"https://imslp.org/wiki/Waltzes,_Op.69_(Chopin,_Frédéric)","이 악보에는 왈츠 2곡이 들어 있어요 — ""이별의 왈츠""는 1번 A♭장조, 2번은 B단조예요"
26,"Chopin, Frédéric",녹턴 20번 C♯단조 (유작),"Nocturne in C-sharp minor, B.49",B.49,녹턴 20번|유작 녹턴|쇼팽 녹턴 유작|쇼팽 녹턴 20번|녹턴 올림다단조|녹턴 C샵 단조|피아니스트 녹턴|영화 피아니스트 녹턴|Nocturne No.20|Nocturne in C-sharp minor|Lento con gran espressione|KK IVa/16,INTERMEDIATE,"https://imslp.org/wiki/Nocturne_in_C-sharp_minor,_B.49_(Chopin,_Frédéric)",
27,"Schumann, Robert",어린이 정경,"Kinderszenen, Op.15",Op.15,어린이 정경|어린이의 정경|어린이정경|트로이메라이|트로이메라이 꿈|트로이머라이|꿈 슈만|Träumerei|Traumerei|Scenes from Childhood|미지의 나라|미지의 나라와 사람들,INTERMEDIATE,"https://imslp.org/wiki/Kinderszenen,_Op.15_(Schumann,_Robert)","이 악보에는 13곡이 들어 있어요 — ""트로이메라이""는 7번이에요. 1번은 ""미지의 나라와 사람들에 대하여"""
28,"Mendelssohn, Felix",무언가 (전곡),Lieder ohne Worte,Op.19b|Op.30|Op.38|Op.53|Op.62|Op.67|Op.85|Op.102,무언가|무언가집|노래의 날개|봄노래|봄의 노래|베네치아 뱃노래|베니스의 뱃노래|베네치아의 곤돌라 노래|사냥의 노래|물레의 노래|실 잣는 노래|Songs without Words|Spring Song|Venetian Gondola Song|Lieder ohne Worte,INTERMEDIATE,"https://imslp.org/wiki/Lieder_ohne_Worte_(Mendelssohn,_Felix)","이 악보에는 8권 48곡이 모두 들어 있어요 — 봄노래 Op.62-6 · 베네치아 뱃노래 Op.19-6, Op.30-6, Op.62-5 · 사냥의 노래 Op.19-3 · 물레의 노래 Op.67-4. 전곡 합본이라 100쪽이 넘어요"
29,"Tchaikovsky, Pyotr",사계,"The Seasons, Op.37a",Op.37a,사계|차이콥스키 사계|차이코프스키 사계|6월 뱃노래|뱃노래|바르카롤|6월|10월 가을의 노래|가을의 노래|가을 노래|11월 트로이카|트로이카|The Seasons|Barcarolle|Autumn Song|Troika|Op.37b,INTERMEDIATE,"https://imslp.org/wiki/The_Seasons,_Op.37a_(Tchaikovsky,_Pyotr)","이 악보에는 12곡(1월~12월)이 들어 있어요 — 6월 ""뱃노래"" · 10월 ""가을의 노래"" · 11월 ""트로이카""를 많이 쳐요"
30,"Grieg, Edvard",서정 소품집 3권 Op.43,"Lyric Pieces, Op.43",Op.43,서정 소품집|서정소품집|서정 소곡집|서정소곡집|나비|그리그 나비|봄에게|봄에 부쳐|봄을 향하여|고독한 방랑자|외로운 방랑자|Lyric Pieces|Butterfly|To Spring|Sommerfugl,INTERMEDIATE,"https://imslp.org/wiki/Lyric_Pieces,_Op.43_(Grieg,_Edvard)","이 악보에는 6곡이 들어 있어요 — 1번 나비 · 3번 고독한 방랑자 · 6번 봄에게"
31,"Debussy, Claude",두 개의 아라베스크,"2 Arabesques, CD 74",CD 74|L.66,아라베스크|아라베스크 1번|아라베스크 2번|드뷔시 아라베스크|아라베스크 E장조|아라베스크 마장조|Arabesque|Arabesque No.1|Deux Arabesques,INTERMEDIATE,"https://imslp.org/wiki/2_Arabesques,_CD_74_(Debussy,_Claude)","이 악보에는 2곡이 들어 있어요 — 많이 연주되는 건 1번 E장조예요"
32,"Debussy, Claude",어린이 차지,"Children's Corner, CD 119",CD 119|L.113,어린이 차지|어린이의 차지|어린이의 세계|어린이 세계|칠드런스 코너|골리워그의 케이크워크|골리워그|골리워그 케이크워크|케이크워크|파르나스 박사|눈은 춤춘다|작은 양치기|인형의 세레나데|Children's Corner|Golliwogg's Cakewalk,INTERMEDIATE,"https://imslp.org/wiki/Children's_Corner,_CD_119_(Debussy,_Claude)","이 악보에는 6곡이 들어 있어요 — ""골리워그의 케이크워크""는 6번이에요. 1번 파르나스 박사 · 4번 눈은 춤춘다"
33,"Ravel, Maurice",죽은 왕녀를 위한 파반느,"Pavane pour une infante défunte, M.19",M.19,죽은 왕녀를 위한 파반느|죽은 왕녀를 위한 파반|죽은 황녀를 위한 파반느|파반느|파반|파바느|라벨 파반느|Pavane|Pavane pour une infante défunte|Pavane for a Dead Princess,INTERMEDIATE,"https://imslp.org/wiki/Pavane_pour_une_infante_défunte,_M.19_(Ravel,_Maurice)",
34,"Satie, Erik",그노시엔느,Gnossiennes,,그노시엔느|그노시엔|그노시엔느 1번|그노시엔 1번|사티 그노시엔느|Gnossienne|Gnossienne No.1,INTERMEDIATE,"https://imslp.org/wiki/Gnossiennes_(Satie,_Erik)","이 악보에는 6곡이 들어 있어요 — 많이 연주되는 건 1번이에요. 박자표와 마디선이 없는 악보예요"
35,"Joplin, Scott",엔터테이너,The Entertainer,,엔터테이너|디 엔터테이너|조플린 엔터테이너|엔터테이너 래그타임|스팅 주제곡|래그타임|Ragtime|The Entertainer,INTERMEDIATE,"https://imslp.org/wiki/The_Entertainer_(Joplin,_Scott)",
36,"Beethoven, Ludwig van",비창 소나타,"Piano Sonata No.8, Op.13",Op.13,비창|비창 소나타|비창소나타|파테티크|파테티크 소나타|Pathétique|Pathetique|Pathetique Sonata|베토벤 소나타 8번|비창 2악장,ADVANCED,"https://imslp.org/wiki/Piano_Sonata_No.8,_Op.13_(Beethoven,_Ludwig_van)","이 악보에는 3개 악장이 들어 있어요 — 흔히 아는 느린 선율(Adagio cantabile)은 2악장이고, 2악장만 따로 보면 중급이에요. 1·3악장은 고급"
37,"Beethoven, Ludwig van",열정 소나타,"Piano Sonata No.23, Op.57",Op.57,열정|열정 소나타|열정소나타|아파시오나타|아빠시오나타|Appassionata|베토벤 소나타 23번,ADVANCED,"https://imslp.org/wiki/Piano_Sonata_No.23,_Op.57_(Beethoven,_Ludwig_van)","이 악보에는 3개 악장이 들어 있어요 — 전 악장이 고급이에요"
38,"Chopin, Frédéric",즉흥 환상곡,"Fantaisie-impromptu, Op.66",Op.66,즉흥환상곡|즉흥 환상곡|환상 즉흥곡|환상즉흥곡|판타지 임프롬프튀|판타지 임프롬투|Fantaisie-Impromptu|Fantasie Impromptu|쇼팽 즉흥곡 4번,ADVANCED,"https://imslp.org/wiki/Fantaisie-impromptu,_Op.66_(Chopin,_Frédéric)",
39,"Chopin, Frédéric",연습곡 Op.10,"Études, Op.10",Op.10,쇼팽 에튀드|쇼팽 에튀드 10|쇼팽 연습곡|혁명|혁명 에튀드|혁명 연습곡|이별의 곡|이별의 노래|이별곡|흑건|흑건 에튀드|폭포|Revolutionary Etude|Black Keys|Tristesse|Etude Op.10 No.3|Etude Op.10 No.12,ADVANCED,"https://imslp.org/wiki/Études,_Op.10_(Chopin,_Frédéric)","이 악보에는 연습곡 12곡이 들어 있어요 — 3번 ""이별의 곡"" · 5번 ""흑건"" · 12번 ""혁명"" · 1번 ""폭포"""
40,"Chopin, Frédéric",발라드 1번 G단조,"Ballade No.1, Op.23",Op.23,발라드 1번|쇼팽 발라드|쇼팽 발라드 1번|발라드 사단조|발라드 G단조|피아니스트 발라드|Ballade No.1|Ballade in G minor,ADVANCED,"https://imslp.org/wiki/Ballade_No.1,_Op.23_(Chopin,_Frédéric)",
41,"Chopin, Frédéric",영웅 폴로네즈,"Polonaise in A-flat major, Op.53",Op.53,영웅 폴로네즈|영웅 폴로네이즈|영웅|폴로네즈 영웅|폴로네이즈|쇼팽 폴로네즈|쇼팽 폴로네즈 6번|Heroic Polonaise|Polonaise héroïque|Polonaise Op.53,ADVANCED,"https://imslp.org/wiki/Polonaise_in_A-flat_major,_Op.53_(Chopin,_Frédéric)",
42,"Chopin, Frédéric",24개의 전주곡 Op.28,"Preludes, Op.28",Op.28,빗방울 전주곡|빗방울|빗방울 프렐류드|쇼팽 프렐류드|쇼팽 전주곡|전주곡 Op.28|프렐류드 4번|프렐류드 7번|프렐류드 15번|프렐류드 20번|Raindrop Prelude|Raindrop|Prelude Op.28 No.15,ADVANCED,"https://imslp.org/wiki/Preludes,_Op.28_(Chopin,_Frédéric)","이 악보에는 전주곡 24곡이 들어 있어요 — ""빗방울""은 15번이에요. 4번 · 7번 · 20번은 짧고 쉬운 편(중급)이에요"
43,"Schubert, Franz",즉흥곡 Op.90 (D.899),"4 Impromptus, D.899",D.899|Op.90,슈베르트 즉흥곡|즉흥곡 Op.90|즉흥곡 90|즉흥곡 2번|즉흥곡 3번|즉흥곡 4번|임프롬프튀|임프롬투|Impromptu Op.90|Impromptu D.899,ADVANCED,"https://imslp.org/wiki/4_Impromptus,_D.899_(Schubert,_Franz)","이 악보에는 즉흥곡 4곡이 들어 있어요 — 2번 E♭장조 · 4번 A♭장조를 많이 쳐요. 3번은 G♭장조"
44,"Liszt, Franz",사랑의 꿈,"Liebesträume, S.541",S.541,사랑의 꿈|사랑의 꿈 3번|사랑의꿈|리베스트라움|리스트 사랑의 꿈|Liebestraum|Liebesträume|Liebestraum No.3|녹턴 3번 리스트,ADVANCED,"https://imslp.org/wiki/Liebesträume,_S.541_(Liszt,_Franz)","이 악보에는 3곡이 들어 있어요 — 흔히 아는 ""사랑의 꿈""은 3번 A♭장조예요. 1·2번은 거의 연주되지 않아요"
45,"Liszt, Franz",라 캄파넬라,"Grandes études de Paganini, S.141",S.141,라 캄파넬라|라캄파넬라|캄파넬라|La Campanella|파가니니 대연습곡|파가니니 연습곡|리스트 종|Paganini Etudes,ADVANCED,"https://imslp.org/wiki/Grandes_études_de_Paganini,_S.141_(Liszt,_Franz)","이 악보에는 연습곡 6곡이 들어 있어요 — ""라 캄파넬라""는 3번 G♯단조예요"
46,"Liszt, Franz",헝가리 광시곡 2번,"Hungarian Rhapsody No.2, S.244/2",S.244/2,헝가리 광시곡 2번|헝가리 광시곡|헝가리안 랩소디|헝가리 랩소디|헝가리 랩소디 2번|헝가리안 랩소디 2번|Hungarian Rhapsody|Hungarian Rhapsody No.2|톰과 제리 피아노,ADVANCED,"https://imslp.org/wiki/Hungarian_Rhapsody_No.2,_S.244/2_(Liszt,_Franz)",
47,"Rachmaninoff, Sergei",환상 소품집 Op.3,"Morceaux de fantaisie, Op.3",Op.3,라흐마니노프 프렐류드|라흐마니노프 전주곡|프렐류드 C샵 단조|프렐류드 올림다단조|종|크렘린의 종|모스크바의 종|엘레지|환상 소품집|Prelude in C-sharp minor|Op.3 No.2|Bells of Moscow|Elegie,ADVANCED,"https://imslp.org/wiki/Morceaux_de_fantaisie,_Op.3_(Rachmaninoff,_Sergei)","이 악보에는 5곡이 들어 있어요 — ""프렐류드 C♯단조(모스크바의 종)""는 2번, 1번은 ""엘레지""예요"
48,"Brahms, Johannes",6개의 피아노 소품 Op.118,"6 Klavierstücke, Op.118",Op.118,브람스 인터메조|브람스 인터메초|인터메조|인터메초|간주곡|브람스 118|인터메조 2번|브람스 A장조 인터메조|Intermezzo Op.118 No.2|Intermezzo in A major|Klavierstücke,ADVANCED,"https://imslp.org/wiki/6_Klavierstücke,_Op.118_(Brahms,_Johannes)","이 악보에는 6곡이 들어 있어요 — 가장 많이 연주되는 인터메조 A장조는 2번이에요. 6번은 E♭단조"
49,"Scriabin, Aleksandr",12개의 연습곡 Op.8,"12 Etudes, Op.8",Op.8,스크랴빈 에튀드|스크리아빈 에튀드|스크리아빈|스크랴빈 Op.8|스크랴빈 8-12|에튀드 D샵 단조|에튀드 올림라단조|Scriabin Etude|Etude Op.8 No.12,ADVANCED,"https://imslp.org/wiki/12_Etudes,_Op.8_(Scriabin,_Aleksandr)","이 악보에는 연습곡 12곡이 들어 있어요 — 가장 많이 연주되는 건 12번 D♯단조예요"
50,"Debussy, Claude",베르가마스크 모음곡,"Suite bergamasque, CD 82",CD 82|L.75,달빛|드뷔시 달빛|달빛 드뷔시|클레르 드 륀|클레어 드 룬|Clair de lune|Clair de Lune|베르가마스크|베르가마스크 모음곡|파스피에|Suite bergamasque|Moonlight Debussy,ADVANCED,"https://imslp.org/wiki/Suite_bergamasque,_CD_82_(Debussy,_Claude)","이 악보에는 4곡이 들어 있어요 — ""달빛(Clair de lune)""은 3번이에요. 1번 프렐류드 · 2번 미뉴에트 · 4번 파스피에. 달빛만 따로 보면 중급이에요"
51,"Czerny, Carl",체르니 리틀 피아니스트,"Der kleine Pianist, Op.823",Op.823,체르니 823|체르니 리틀 피아니스트|리틀 피아니스트|꼬마 피아니스트|체르니 초급|Czerny 823,BEGINNER,"https://imslp.org/wiki/Der_kleine_Pianist,_Op.823_(Czerny,_Carl)","이 악보에는 짧은 연습곡이 번호 순으로 들어 있어요 — 바이엘 다음 단계로 많이 써요"
52,"Burgmüller, Friedrich",부르크뮐러 18 연습곡,"18 Études de genre, Op.109",Op.109,부르크뮐러 18|부르크뮐러 18번|부르크뮐러 109|부르그뮐러 18|Burgmüller 18,INTERMEDIATE,"https://imslp.org/wiki/18_Études_de_genre,_Op.109_(Burgmüller,_Friedrich)","이 악보에는 연습곡 18곡이 번호 순으로 들어 있어요 — 25 연습곡 다음 단계예요"
53,"Tchaikovsky, Pyotr",어린이 앨범,"Children's Album, Op.39",Op.39,어린이 앨범|어린이를 위한 앨범 차이콥스키|차이콥스키 어린이|인형의 병|인형의 장례식|새 인형|목마 놀이|달콤한 꿈|Children's Album,ELEMENTARY,"https://imslp.org/wiki/Children's_Album,_Op.39_(Tchaikovsky,_Pyotr)","이 악보에는 짧은 소품 24곡이 들어 있어요"
54,"Pachelbel, Johann",캐논,"Canon and Gigue in D major, P.37",P.37,캐논|파헬벨 캐논|캐논 변주곡|캐논 인 디|캐논 D장조|캐논 라장조|카논|Canon in D|Pachelbel Canon,ELEMENTARY,"https://imslp.org/wiki/Canon_and_Gigue_in_D_major,_P.37_(Pachelbel,_Johann)","원래는 바이올린 3대와 통주저음 곡이에요 — 피아노로 친 편곡 악보가 함께 있어요"
55,"Elgar, Edward",사랑의 인사,"Salut d'amour, Op.12",Op.12,사랑의 인사|사랑의인사|살루트 다무르|엘가 사랑의 인사|Salut d'amour|Love's Greeting,ELEMENTARY,"https://imslp.org/wiki/Salut_d'amour,_Op.12_(Elgar,_Edward)",
56,"Dvořák, Antonín",유모레스크,"Humoresques, Op.101",Op.101,유모레스크|유머레스크|유모레스크 7번|드보르작 유모레스크|드보르자크 유모레스크|Humoresque|Humoresques,ELEMENTARY,"https://imslp.org/wiki/Humoresques,_Op.101_(Dvořák,_Antonín)","이 악보에는 8곡이 들어 있어요 — 흔히 아는 곡은 7번이에요"
57,"Saint-Saëns, Camille",동물의 사육제,Le carnaval des animaux,,백조|더 스완|동물의 사육제|동물의사육제|생상스 백조|생상 백조|The Swan|Le Cygne|Carnival of the Animals,ELEMENTARY,"https://imslp.org/wiki/Le_carnaval_des_animaux_(Saint-Saëns,_Camille)","이 악보에는 14곡이 들어 있어요 — 흔히 아는 '백조'는 13번이에요"
58,"Beethoven, Ludwig van",바가텔 Op.119,"11 Bagatelles, Op.119",Op.119,베토벤 바가텔|바가텔|바가텔 119|베토벤 소품|Bagatelles Op.119,ELEMENTARY,"https://imslp.org/wiki/11_Bagatelles,_Op.119_(Beethoven,_Ludwig_van)","이 악보에는 짧은 소품 11곡이 들어 있어요"
59,"Grieg, Edvard",서정 소품집 1권 Op.12,"Lyric Pieces, Op.12",Op.12,서정 소품집 1권|서정소품집 1권|아리에타|왈츠 그리그|요정의 춤|그리그 Op.12|Lyric Pieces Op.12|Arietta,ELEMENTARY,"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)","이 악보에는 소품 8곡이 들어 있어요"
60,"Schubert, Franz",악흥의 순간,"6 Moments musicaux, D.780",D.780|Op.94,악흥의 순간|악흥의순간|모망 뮈지칼|모멘트 뮤지컬|슈베르트 악흥의 순간|악흥의 순간 3번|Moments musicaux|Moment musical,INTERMEDIATE,"https://imslp.org/wiki/Moments_musicaux,_D.780_(Schubert,_Franz)","이 악보에는 6곡이 들어 있어요 — 흔히 아는 곡은 3번이에요"
61,"Mozart, Wolfgang Amadeus",환상곡 D단조,"Fantasia in D minor, K.397/385g",K.397,모차르트 환상곡|환상곡 D단조|환상곡 라단조|판타지아 D단조|모차르트 판타지아|Fantasia in D minor|K.397,INTERMEDIATE,"https://imslp.org/wiki/Fantasia_in_D_minor,_K.397/385g_(Mozart,_Wolfgang_Amadeus)",
